Zoltn Adamik,2
Pirouz Adamiyat,1
Nafissatou Moussa Adamou,1
Georgi Mirchev Adamov,16
Tatyana Pavlovna Adamovich,1
Tadeusz Ralf Adamowski,1
Anne Wilma Adams (-King),2
Antoine Xavier Adams,6
April Jane Adams,1
"Bartlett S. ""Bart"" Adams",1
"Benjamin Willard ""Ben"" Adams",2
"Robert ""Bob"" Adams",1
Brian Adams,1
Bridget Shirley Adams (-Bengough),1
Natalie Cammile Adams (-Brannan),2
David Dixie Adams,1
Edgar Holmes Adams,5
Edward Adams,1
"Francis ""Frank"" Adams",2
"Frederick Thomas ""Fred"" Adams",1
"Gerard ""Gerry"" Adams",2
Harry Lester Adams,5
John E. Adams,1
"Judith C. ""Judi"" Adams",2
Keith Adams,1
Lennox Adams,1
Liam Adams,1
Luke Kendall Adams,4
Lynda Riley Adams (-Hunt),2
Lyukman Rasakovich Adams,1
Mareike Adams,1
Maureen Adams,1
"Morgan Orlando Adams, Jr.",1
Adrian Neil Adams,3
Nelson Luis Adams,1
Nicola Virginia Adams,2
Odalys Adams Castillo,1
Paul Adams,1
"Phillip Maxwell ""Phil"" Adams",7
Platt Adams,9
Rachael Alexis Adams,1
Ralph Andrew Adams,3
Robert P. Adams,1
"Victoria ""Vicki"" Adams",1
Walter Adams,2
Wayman Elbridge Adams,1
William T. Adams,1
"William Edward ""Willie"" Adams",1
"Birgitta Ann-Agnes ""Bride"" Adams-Ray",1
Valerie Kasanita Adams-Vili (-Price),4
Morten Gundro Adamsen,1
Antoni Adamski,1
Filip Kamil Adamski,2
Herbert Adamski,1
Jerzy Adamski,1
Tadeusz Adamski,1
Per Anders Adamson,2
Derrick Adamson,2
"James Nicholas ""Nick"" Adamson",1
Per Owe Adamson,2
Gsta Napoleon Adamsson,1
Charles Adamu,1
Mamudu Adamu,1
Dariusz Adamus,1
Jos Carlos Adn Arias,1
Nenita Adan,1
Aboukar Hassan Adani,2
Yasemin Adar,1
Juan Bautista Adarraga Elizarn,2
Orhan Ada,2
"Christopher Thomas ""Chris"" Adcock",2
"Frances ""Fran"" Adcock",1
"  Gabrielle Marie ""Gabby"" Adcock (White-)",1
"William Arthur ""Bill"" Adcocks",1
Berkane Lakhdar Adda,1
Elie Adda,2
Mehdi Addadi,2
"Edith Addams de Habbelinck (-Lutjens, -Taylor, -Bel Geddes)",1
Jenny Marie Beatrice Addams,4
Jean Renaud Adde,2
Yannick Adde,1
Hamida Addche,1
Corran Descy Addison,1
Roy Addison,1
"Joseph ""Joe"" Addo",1
Simon Addo,2
Charles Addo-Odametey,2
Eugene Addor,1
"Robert Charles ""Bob"" Addy",1
Ebenezer Charles O. Addy,1
James Aryee Addy,7
Jangy McKinley Addy,2
Mercy Addy,4
Winifred Addy,1
William Harold Ade,1
Peter Adeberg,12
Ulrike Adeberg (-Spielmann),1
James Adede,1
Adegboyega Folaranmi Adedoyin,2
Olubayo Adefemi,1
Lawrence Adegbeingbe,1
"Stephen Adebisi Gbadegesin ""Steve"" Adegbite",1
Adewale Adegbusi,1
Oluwakemi 'Kemi' Adekoya,1
Amos Ojo Adekunle,2
Odunayo Folasade Adekuoroye,1
Carolyn Adel,6
